DATAFLOW,LAST UPDATE,freq,unit,sectperf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CZ,2013,1.02,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CZ,2014,1.1,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CZ,2015,1.04,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CZ,2016,1.02,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CZ,2017,1.11,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CZ,2018,1.18,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,CZ,2019,1.2,p
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DE,2008,1.81,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DE,2009,1.85,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DE,2010,1.83,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DE,2011,1.9,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DE,2012,1.96,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DE,2013,1.91,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DE,2014,1.95,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DE,2015,2.01,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DE,2016,2,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DE,2017,2.11,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DE,2018,2.15,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DE,2019,2.19,e
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DK,2008,1.94,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DK,2009,2.13,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DK,2010,1.96,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DK,2011,1.96,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DK,2012,1.95,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DK,2013,1.88,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DK,2014,1.86,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DK,2015,1.94,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DK,2016,2.01,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DK,2017,1.86,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DK,2018,1.87,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,DK,2019,1.82,p
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EA19,2008,1.2,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EA19,2009,1.23,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EA19,2010,1.24,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EA19,2011,1.29,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EA19,2012,1.34,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EA19,2013,1.36,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EA19,2014,1.38,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EA19,2015,1.39,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EA19,2016,1.4,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EA19,2017,1.45,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EA19,2018,1.47,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EA19,2019,1.48,p
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EE,2008,0.54,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EE,2009,0.62,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EE,2010,0.79,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EE,2011,1.44,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EE,2012,1.21,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EE,2013,0.82,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EE,2014,0.62,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EE,2015,0.67,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EE,2016,0.63,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EE,2017,0.6,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EE,2018,0.6,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EE,2019,0.86,p
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EL,2008,0.21,be
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EL,2009,0.23,e
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EL,2010,0.24,e
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EL,2011,0.24,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EL,2012,0.24,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EL,2013,0.27,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EL,2014,0.28,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EL,2015,0.32,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EL,2016,0.42,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EL,2017,0.56,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EL,2018,0.58,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EL,2019,0.59,p
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,ES,2008,0.73,b
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,ES,2009,0.71,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,ES,2010,0.7,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,ES,2011,0.7,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,ES,2012,0.69,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,ES,2013,0.68,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,ES,2014,0.66,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,ES,2015,0.64,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,ES,2016,0.64,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,ES,2017,0.67,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,ES,2018,0.7,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,ES,2019,0.7,p
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU27_2020,2008,1.19,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU27_2020,2009,1.22,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU27_2020,2010,1.22,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU27_2020,2011,1.27,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU27_2020,2012,1.32,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU27_2020,2013,1.34,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU27_2020,2014,1.35,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU27_2020,2015,1.37,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU27_2020,2016,1.39,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU27_2020,2017,1.43,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU27_2020,2018,1.45,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU27_2020,2019,1.46,p
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU28,2008,1.16,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU28,2009,1.19,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU28,2010,1.19,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU28,2011,1.24,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU28,2012,1.27,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU28,2013,1.29,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU28,2014,1.31,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU28,2015,1.32,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU28,2016,1.34,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU28,2017,1.39,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU28,2018,1.41,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,EU28,2019,1.42,p
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FI,2008,2.63,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FI,2009,2.67,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FI,2010,2.58,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FI,2011,2.55,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FI,2012,2.34,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FI,2013,2.25,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FI,2014,2.13,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FI,2015,1.91,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FI,2016,1.79,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FI,2017,1.78,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FI,2018,1.81,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FI,2019,1.83,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FR,2008,1.29,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FR,2009,1.36,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FR,2010,1.38,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FR,2011,1.4,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FR,2012,1.44,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FR,2013,1.44,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FR,2014,1.45,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FR,2015,1.44,p
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FR,2016,1.45,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FR,2017,1.44,p
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FR,2018,1.44,p
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,FR,2019,1.44,e
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HR,2008,0.39,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HR,2009,0.34,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HR,2010,0.33,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HR,2011,0.33,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HR,2012,0.34,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HR,2013,0.41,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HR,2014,0.38,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HR,2015,0.43,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HR,2016,0.4,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HR,2017,0.42,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HR,2018,0.46,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HR,2019,0.54,p
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HU,2008,0.51,d
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HU,2009,0.65,d
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HU,2010,0.68,d
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HU,2011,0.74,d
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HU,2012,0.83,d
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HU,2013,0.96,d
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HU,2014,0.96,d
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HU,2015,0.98,d
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HU,2016,0.88,d
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HU,2017,0.96,d
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HU,2018,1.14,bd
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,HU,2019,1.11,d
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IE,2008,0.9,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IE,2009,1.1,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IE,2010,1.09,e
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IE,2011,1.09,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IE,2012,1.12,e
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IE,2013,1.13,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IE,2014,1.08,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IE,2015,0.85,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IE,2016,0.85,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IE,2017,0.92,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IE,2018,0.85,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IE,2019,0.51,p
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IS,2008,1.34,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IS,2009,1.31,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IS,2010,1.27,be
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IS,2011,1.28,be
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IS,2013,0.95,b
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IS,2014,1.18,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IS,2015,1.44,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IS,2016,1.36,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IS,2017,1.34,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IS,2018,1.29,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IS,2019,1.61,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IT,2008,0.62,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IT,2009,0.65,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IT,2010,0.66,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IT,2011,0.66,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IT,2012,0.68,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IT,2013,0.71,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IT,2014,0.76,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IT,2015,0.78,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IT,2016,0.83,b
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IT,2017,0.85,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IT,2018,0.9,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,IT,2019,0.91,p
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,JP,2008,2.62,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,JP,2009,2.45,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,JP,2010,2.4,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,JP,2011,2.5,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,JP,2012,2.46,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,JP,2013,2.52,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,JP,2014,2.64,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,JP,2015,2.57,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,JP,2016,2.47,
ESTAT:TSC00001(1.0),10/03/21 23:00:00,A,PC_GDP,BES,JP,2017,2.53,
